,R,CoreCPI,IP,Consumption,Unemp,Credit,Spread,IV_GK,IV_MAR
197301,5.89,0.00,374.004774068834,817.689765529117,4.94473464629031,504.600243793355,1.10,NaN,NaN
197302,6.19,0.45,375.653810258775,818.30063413087,5.03825087139559,508.5124146087,1.05,NaN,NaN
197303,6.85,0.45,375.887182593397,818.431847594887,4.94563626950003,511.433443042742,1.00,NaN,NaN
197304,6.85,0.22,375.653810258775,818.04049048565,5.00909928329102,513.161322064916,0.96,NaN,NaN
197305,6.89,0.44,376.35229971097,818.250336535712,4.86530226912573,514.795948495947,1.01,NaN,NaN
197306,7.31,0.22,376.35229971097,818.001270404466,4.87224728637156,516.638469528721,1.14,NaN,NaN
197307,8.39,0.22,376.815263500844,818.79388430535,4.80447301459756,518.285039673932,0.93,NaN,NaN
197308,8.82,0.44,376.584049525007,817.543500876579,4.80957222178775,520.009795904158,0.94,NaN,NaN
197309,8.31,0.65,377.276093809464,819.002156967798,4.84204902157216,520.285217472997,0.77,NaN,NaN
197310,7.40,0.65,378.191432008113,818.311807939475,4.59775216074381,520.669537700072,1.23,NaN,NaN
197311,7.57,0.43,378.872478908365,818.493207556649,4.84589267604392,521.112415484566,1.31,NaN,NaN
197312,7.27,0.43,378.872478908365,817.63915966338,4.93893717680713,521.878702759123,1.24,NaN,NaN
197401,7.42,0.43,378.191432008113,817.585714562882,5.09216109825766,523.062721757809,1.11,NaN,NaN
197402,6.88,0.64,377.734810210154,817.004416013091,5.17133956386293,524.121777450746,1.25,NaN,NaN
197403,7.76,0.84,377.734810210154,817.159948034546,5.06708363859031,526.527751246984,1.16,NaN,NaN
197404,8.62,0.63,377.276093809464,817.495637146517,5.05877069024067,530.131287552784,1.18,NaN,NaN
197405,8.78,1.24,377.96338173824,817.785284569952,5.13668719158042,531.56168636261,1.22,NaN,NaN
197406,8.67,1.03,377.96338173824,817.546315676798,5.36312970784169,532.928294580492,1.75,NaN,NaN
197407,8.80,1.02,377.96338173824,817.875101573857,5.49060859757949,535.038785883904,2.44,NaN,NaN
